"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-14 07:14:49",1760426089287,"samanaffa.com/api/accounts","GET","",200,"dhg45-1760426089244-a15fabea7d75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/accounts","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",331,"iad1",153,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4PT7154RXRXZ4X64NS3M","mgFZdnRNCvLO",1
"2025-10-14 07:14:48",1760426088906,"samanaffa.com/portal/sama-naffa","GET","",200,"tqwz7-1760426088785-4837b2836363","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","PRERENDER","static","/portal/sama-naffa","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","","",-1
"2025-10-14 07:14:48",1760426088793,"samanaffa.com/portal/sama-naffa","GET","",200,"tqwz7-1760426088785-4837b2836363","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","edge-middleware","/middleware","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"lhr1",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4PASM2QFVA7REM17ZNVQ","Y28TbKXEAcq4",-1
"2025-10-14 07:14:46",1760426086592,"samanaffa.com/api/auth/session","GET","",200,"dhg45-1760426086542-6046cc0da4e3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/auth/[...nextauth]","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",8,"iad1",111,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4KRF8CZF9WXGAAN80GY4","mgFZdnRNCvLO",2
"2025-10-14 07:14:46",1760426086159,"samanaffa.com/api/notifications","GET","",200,"pvm7t-1760426086111-0e3f89fb6c08","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/notifications","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",811,"iad1",153,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4KRF8CZF9WXGAAN80GY4","mgFZdnRNCvLO",2
"2025-10-14 07:14:45",1760426085473,"samanaffa.com/api/transactions/intent","GET","userId=cmg9f5vj2000li4fomlq9ths8&limit=10",200,"pvm7t-1760426085430-c8885674e8fd","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/transactions/intent","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",485,"iad1",153,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4K31B5949DVJ1X08G4SS","mgFZdnRNCvLO",1
"2025-10-14 07:14:44",1760426084808,"samanaffa.com/api/users/profile","GET","",200,"6ts6g-1760426084757-21e25ace46bc","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/users/profile","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",493,"iad1",153,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4JE8ZF7B97K9WN4FY645","mgFZdnRNCvLO",1
"2025-10-14 07:14:44",1760426084447,"samanaffa.com/portal/dashboard","GET","",200,"6cxb2-1760426083531-74b1e3dd40a3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","PRERENDER","static","/portal/dashboard","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","","",-1
"2025-10-14 07:14:43",1760426083536,"samanaffa.com/portal/dashboard","GET","",200,"6cxb2-1760426083531-74b1e3dd40a3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","edge-middleware","/middleware","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"lhr1",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4H6G33XC3SR670TVY9DM","Y28TbKXEAcq4",-1
"2025-10-14 07:14:43",1760426083385,"samanaffa.com/api/auth/session","GET","",200,"pxcfj-1760426083342-b7d74230279d","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/auth/[...nextauth]","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",11,"iad1",153,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4H1SZT13CN84YADEXD49","mgFZdnRNCvLO",1
"2025-10-14 07:14:42",1760426082683,"samanaffa.com/api/auth/callback/credentials","POST","",200,"pxcfj-1760426082641-9b35624e2145","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/auth/[...nextauth]","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",530,"iad1",153,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4GBV2PTSJXQ522195SGT","mgFZdnRNCvLO",1
"2025-10-14 07:14:42",1760426082496,"samanaffa.com/api/auth/csrf","GET","",200,"pxcfj-1760426082453-cc04f100a76e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/auth/[...nextauth]","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",14,"iad1",153,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4G60ZE1FEWPYP7XX2RFG","mgFZdnRNCvLO",1
"2025-10-14 07:14:42",1760426082299,"samanaffa.com/api/auth/providers","GET","",200,"pxcfj-1760426082245-77f0a70b72d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/auth/[...nextauth]","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",36,"iad1",153,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4FZVY2N7ST719652398F","mgFZdnRNCvLO",1
"2025-10-14 07:14:40",1760426080478,"samanaffa.com/api/auth/login","POST","",200,"7cjfq-1760426080432-06ae514efa52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/auth/login","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",1624,"iad1",152,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS4E6YW0BNRMG2RF29QB4V","mgFZdnRNCvLO",1
"2025-10-14 07:14:33",1760426073387,"samanaffa.com/login","GET","",200,"whs6r-1760426073096-ad2e1bb6ba44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","PRERENDER","static","/login","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","","",-1
"2025-10-14 07:14:33",1760426073212,"samanaffa.com/register","GET","",200,"mw89w-1760426073096-b4756ee58e36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","PRERENDER","static","/register","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","","",-1
"2025-10-14 07:14:33",1760426073203,"samanaffa.com/ape","GET","",200,"6wt65-1760426073096-07ada3029aaa","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","PRERENDER","static","/ape","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","","",-1
"2025-10-14 07:14:33",1760426073202,"samanaffa.com/sama-naffa","GET","",200,"b6bbd-1760426073096-9f65fdf79288","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","PRERENDER","static","/sama-naffa","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","","",-1
"2025-10-14 07:14:33",1760426073151,"samanaffa.com/api/auth/session","GET","",200,"rpt8w-1760426073096-62c067231a56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","","lambda","/api/auth/[...nextauth]","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",527,"iad1",131,2048,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","01K7GS471ZG202BFKJ6KP1ED20","mgFZdnRNCvLO",1
"2025-10-14 07:14:31",1760426071278,"samanaffa.com/","GET","",200,"whs6r-1760426071142-078beede389e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0","info","production","main","PRERENDER","static","/","samanaffa.com","samanaffa.com","dpl_5owdQ5YGHVWBGMzx6AKdgraAmXeR",-1,"",-1,-1,"","prj_RbTSqujZK7ZAbbRKQ3Bc1AnoDqSM","","","","",-1
